countyfips,mean_confirmed_7d_avg,mean_deaths_7d_avg
45001,259.42857142857144,2.857142857142857
22001,2089.285714285714,60.285714285714285
51001,1060,15
16001,6709.142857142857,42.714285714285715
19001,20.428571428571427,0
21001,176.57142857142858,19
29001,117.42857142857143,0
40001,219.85714285714286,4.428571428571429
8001,5417.857142857143,166
16003,15.428571428571429,0
17001,315,1
18001,66.57142857142857,1
19003,12.285714285714286,0
28001,481.2857142857143,22.142857142857142
31001,323,11
39001,40.285714285714285,2
42001,435.57142857142856,16.285714285714285
53001,335.2857142857143,0.42857142857142855
55001,57.285714285714285,2
50001,71.14285714285714,2
72001,73.85714285714286,0
72003,84.42857142857143,0
72005,136.57142857142858,0
72007,88,0
72009,65.57142857142857,0
45003,1173.5714285714287,21.285714285714285
27001,23.428571428571427,0
12001,2971.4285714285716,17
37001,1888.2857142857142,40.285714285714285
6001,10029.57142857143,174.57142857142858
8003,216.42857142857142,7
36001,2412.714285714286,122.42857142857143
56001,75.85714285714286,0
51003,679.8571428571429,10
26001,27.142857142857142,1
28003,232.42857142857142,2.4285714285714284
2013,1,0
2016,1.8571428571428572,0
17003,33.714285714285715,0
37003,240,2
51510,2659.714285714286,56.42857142857143
40003,1.2857142857142858,0
26003,4.714285714285714,0
19005,144.14285714285714,4
26005,456.7142857142857,7.142857142857143
24001,248,18
36003,73.14285714285714,1
37005,57.857142857142854,0
51005,56.142857142857146,2
42003,7000.714285714285,215.57142857142858
18003,3281.4285714285716,149.57142857142858
20001,11,0
21003,207.42857142857142,7.857142857142857
22003,884.2857142857143,15.714285714285714
39003,513.1428571428571,41
45005,138.42857142857142,3
26007,125,13
6003,2,0
6005,70.14285714285714,0
51007,62.714285714285715,1
51009,72.85714285714286,0
28005,163.85714285714286,4
72011,97.28571428571429,0
2020,1177.4285714285713,9
20003,24.714285714285715,0
21005,44.714285714285715,1
45007,1611,32.285714285714285
47001,388.57142857142856,3.4285714285714284
48001,2104,4.571428571428571
29003,71.85714285714286,1
48003,217.42857142857142,3.5714285714285716
23001,525.2857142857143,5
48005,1295.142857142857,16
24003,6247.428571428572,213.85714285714286
27003,2900.4285714285716,110.85714285714286
37007,274.57142857142856,2
31003,17,1
26009,32.42857142857143,0
4001,2863.5714285714284,121.14285714285714
19007,34.857142857142854,3
13001,477,15.857142857142858
51011,56.42857142857143,0
48007,118.14285714285714,0.8571428571428571
8005,6366.714285714285,357.7142857142857
48009,13.857142857142858,0
8007,24.857142857142858,0
72013,210.14285714285714,0
26011,39.857142857142854,2
5001,159.28571428571428,1
51013,2786.1428571428573,135
42005,143.28571428571428,6
48011,3.5714285714285716,0
23003,30.857142857142858,1
72015,68,0
31005,0,0
22005,2166.4285714285716,65
37009,84.85714285714286,1
39005,110,4
55003,13.285714285714286,0
5003,162.28571428571428,4
39007,500,44
53003,21.857142857142858,2
22007,481.7142857142857,17.857142857142858
48013,387,4
20005,53.714285714285715,0
29005,10.285714285714286,0
39009,305.7142857142857,1
13003,254.28571428571428,2
34001,3200.714285714286,239.71428571428572
40005,52.857142857142854,0
28007,442.57142857142856,23
29007,175.71428571428572,1
19009,23.714285714285715,1
39011,157.85714285714286,5
51015,235.14285714285714,2.5714285714285716
46003,36.42857142857143,0
48015,175.71428571428572,1.1428571428571428
1001,888.1428571428571,20
37011,65.14285714285714,0
22009,775,22.857142857142858
8009,14,0
13005,369.2857142857143,5
48017,129.42857142857142,2
12003,272.7142857142857,4
13007,48.42857142857143,3
41001,17.857142857142858,0
1003,2449.8571428571427,16.285714285714285
13009,805.2857142857143,36.714285714285715
21007,27,0
24005,10550.42857142857,522
24510,10052.42857142857,394.85714285714283
45009,346.2857142857143,5.571428571428571
48019,62.857142857142854,0.14285714285714285
13011,201.14285714285714,3
31007,2,0
16005,233.71428571428572,1.1428571428571428
26013,5,0
20007,3.857142857142857,0
1005,506.7142857142857,4
54001,27.285714285714285,1
72017,47.57142857142857,0
38003,28.571428571428573,0
25001,1672.2857142857142,154.71428571428572
45011,256,1.7142857142857142
72019,147.71428571428572,0
21009,231.14285714285714,2
55005,97.57142857142857,2.142857142857143
13013,873.1428571428571,31.428571428571427
26015,165,2
29009,182.14285714285714,0
18005,663.7142857142857,45
20009,86.85714285714286,3
29011,52.42857142857143,0
13015,1280,51
48021,1132.7142857142858,12.714285714285714
29013,26.571428571428573,1
21011,26,1
51017,2.7142857142857144,0
5005,51.57142857142857,0
12005,2593.8571428571427,13.857142857142858
26017,504.14285714285717,31
72021,876,0
55007,15.857142857142858,1
48023,3.4285714285714284,0
46005,577.2857142857143,9
16007,4.714285714285714,0
37013,245.85714285714286,1
45013,2825.1428571428573,32.285714285714285
22011,578.8571428571429,10.714285714285714
40007,34.142857142857146,0
42007,1076.857142857143,81.85714285714286
30001,20.571428571428573,0
27005,96.85714285714286,0
40009,29.857142857142858,0
42009,113.57142857142857,4
47003,729.8571428571429,10
51019,218.42857142857142,4
48025,336.85714285714283,1.7142857142857142
33001,99.28571428571429,4
21013,204.14285714285714,1.1428571428571428
48027,2948.8571428571427,19
39013,580.5714285714286,25.857142857142858
27007,132.28571428571428,0
13017,291.2857142857143,1
16009,39.142857142857146,0
46007,5,0
50003,80.85714285714286,1
38005,43.857142857142854,1
8011,5,0
5007,4106.571428571428,30.857142857142858
18007,55,0
19011,106.28571428571429,1
27009,279.7142857142857,3
28009,86.28571428571429,0
29015,46.857142857142854,0.14285714285714285
41003,132.42857142857142,6
47005,40.142857142857146,1
53005,3075.1428571428573,103.85714285714286
26019,27.285714285714285,1
34003,20163.428571428572,2038.7142857142858
45015,3316.1428571428573,46.142857142857146
54003,591.2857142857143,10
42011,4959.857142857143,361.85714285714283
25003,634.5714285714286,45
35001,4210.285714285715,107.85714285714286
13019,217.28571428571428,0
26021,1192,62.42857142857143
37015,198.42857142857142,4
2050,17.571428571428573,0
48029,34612,325.7142857142857
1007,299.57142857142856,2
13021,2559.8571428571427,49.857142857142854
22013,333.57142857142856,28.285714285714285
30003,193,5
56003,32.857142857142854,0
27011,20.428571428571427,0
38007,1,0
16011,136.42857142857142,2
19013,2799.4285714285716,61.285714285714285
18009,46.285714285714285,2
37017,516,5
16013,562,5.857142857142857
30005,6.714285714285714,0
31009,0,0
40011,26,0
42013,164.71428571428572,1.7142857142857142
48031,80.71428571428571,1.1428571428571428
51021,7,0
13023,110,1.8571428571428572
47007,646,1
1009,543.5714285714286,1
47009,726,6.714285714285714
27013,737.5714285714286,3
16015,28.142857142857142,0
28011,698.4285714285714,24
29017,48.714285714285715,0
46009,13,0
17005,33.42857142857143,1.2857142857142858
16017,113.71428571428571,0
16019,451,1
5009,98.85714285714286,1
17007,677.5714285714286,22.142857142857142
18011,565.5714285714286,45
19015,205.85714285714286,1
21015,899,23.571428571428573
29019,862,2.7142857142857144
31011,7,0
54005,65.85714285714286,0
48035,94.14285714285714,0.14285714285714285
22015,1771.2857142857142,56.285714285714285
51023,171.28571428571428,4
38009,8.285714285714286,0
8013,1725,74
16021,24.857142857142858,0
20011,61.142857142857146,1
21017,60.857142857142854,1
48037,666.5714285714286,18.428571428571427
38011,4.571428571428571,0
31013,8.714285714285714,0
21019,134.85714285714286,3
31015,1,0
21021,87.71428571428571,0
21023,25.428571428571427,0
12007,219,2.5714285714285716
42015,72.14285714285714,3
5011,110.42857142857143,2
47011,1367.857142857143,8.857142857142858
26023,303.85714285714283,2
13025,191.28571428571428,3.142857142857143
54007,7.571428571428571,0
48039,5247.571428571428,37.714285714285715
