countyfips,mean_confirmed_7d_diff,mean_deaths_7d_diff
45001,3.2857142857142856,0.5714285714285714
22001,44.142857142857146,1.7142857142857142
51001,1.7142857142857142,0
16001,169,2.142857142857143
19001,0,0
21001,2.2857142857142856,0
29001,1.2857142857142858,0
40001,10,0.14285714285714285
8001,75.57142857142857,0.7142857142857143
16003,0.2857142857142857,0
17001,9.428571428571429,0
18001,2.142857142857143,0
19003,0.14285714285714285,0
28001,11.714285714285714,0.14285714285714285
31001,1.2857142857142858,0
39001,1.5714285714285714,0
42001,3.857142857142857,0.42857142857142855
53001,7.714285714285714,0.2857142857142857
55001,1.4285714285714286,0
50001,0,0
72001,0.7142857142857143,0
72003,2.857142857142857,0
72005,5.714285714285714,0
72007,2.142857142857143,0
72009,1.2857142857142858,0
45003,42,0.7142857142857143
27001,0.5714285714285714,0
12001,80,0.8571428571428571
37001,36.714285714285715,0.14285714285714285
6001,178.57142857142858,2.142857142857143
8003,1.8571428571428572,0.14285714285714285
36001,16.714285714285715,0.42857142857142855
56001,0.7142857142857143,0
51003,12.142857142857142,0
26001,0,0
28003,18,0.14285714285714285
2013,0,0
2016,0.2857142857142857,0
17003,0.42857142857142855,0
37003,5.285714285714286,0
51510,23.857142857142858,0.14285714285714285
40003,0.2857142857142857,0
26003,0.14285714285714285,0
19005,0.2857142857142857,0
26005,5.285714285714286,0
24001,3.142857142857143,0
36003,0.2857142857142857,0
37005,1.2857142857142858,0
51005,0.2857142857142857,0
42003,145.57142857142858,1.7142857142857142
18003,30.428571428571427,1.5714285714285714
20001,0.5714285714285714,0
21003,1.1428571428571428,0.14285714285714285
22003,35.42857142857143,0.42857142857142855
39003,13.142857142857142,0
45005,4.285714285714286,0
26007,0,0
6003,0,0
6005,3.142857142857143,0
51007,1.5714285714285714,0
51009,4.428571428571429,0
28005,5.142857142857143,0
72011,1.8571428571428572,0
2020,65,0
20003,0.2857142857142857,0
21005,1.7142857142857142,0
45007,43.714285714285715,2
47001,24.714285714285715,0.14285714285714285
48001,15.857142857142858,0.5714285714285714
29003,1.4285714285714286,0
48003,4.857142857142857,0.2857142857142857
