countyfips,mean_confirmed_7d_total,mean_deaths_7d_total
45001,297.85714285714283,3.7142857142857144
22001,2407.714285714286,69.57142857142857
51001,1212.7142857142858,17.142857142857142
16001,7763.142857142857,49.857142857142854
19001,23.285714285714285,0
21001,203,21.714285714285715
29001,135,0
40001,257.85714285714283,5.142857142857143
8001,6234,190
16003,17.857142857142858,0
17001,365.7142857142857,1.1428571428571428
18001,77,1.1428571428571428
19003,14.142857142857142,0
28001,557.1428571428571,25.428571428571427
31001,370,12.571428571428571
39001,47.142857142857146,2.2857142857142856
42001,499.57142857142856,18.857142857142858
53001,387.85714285714283,0.7142857142857143
55001,66.42857142857143,2.2857142857142856
50001,81.28571428571429,2.2857142857142856
72001,84.85714285714286,0
72003,98,0
72005,159.42857142857142,0
72007,101.85714285714286,0
72009,75.71428571428571,0
45003,1367.142857142857,24.571428571428573
27001,27,0
12001,3442.4285714285716,19.857142857142858
37001,2178.1428571428573,46.142857142857146
6001,11548.57142857143,200.42857142857142
8003,248,8.142857142857142
36001,2765.285714285714,140.14285714285714
56001,87,0
51003,783.1428571428571,11.428571428571429
26001,31,1.1428571428571428
28003,276,2.857142857142857
2013,1.1428571428571428,0
2016,2.2857142857142856,0
17003,38.714285714285715,0
37003,276.85714285714283,2.2857142857142856
51510,3052.4285714285716,64.57142857142857
40003,1.7142857142857142,0
26003,5.428571428571429,0
19005,164.85714285714286,4.571428571428571
26005,524.8571428571429,8.142857142857142
24001,285.42857142857144,20.571428571428573
36003,83.71428571428571,1.1428571428571428
37005,66.85714285714286,0
51005,64.28571428571429,2.2857142857142856
42003,8085.428571428572,247.42857142857142
18003,3769.4285714285716,171.71428571428572
20001,13,0
21003,237.71428571428572,9
22003,1027.2857142857142,18.142857142857142
39003,594.7142857142857,46.857142857142854
45005,161.14285714285714,3.4285714285714284
26007,142.85714285714286,14.857142857142858
6003,2.2857142857142856,0
6005,82.14285714285714,0
51007,72.85714285714286,1.1428571428571428
51009,86,0
28005,189.71428571428572,4.571428571428571
72011,112.28571428571429,0
2020,1389.142857142857,10.285714285714286
20003,28.428571428571427,0
21005,52.285714285714285,1.1428571428571428
45007,1867.142857142857,38
47001,460,4
48001,2412.8571428571427,5.714285714285714
29003,83,1.1428571428571428
48003,250.57142857142858,4.285714285714286
23001,603,5.857142857142857
48005,1507.5714285714287,20.428571428571427
24003,7181.285714285715,244.42857142857142
27003,3340.8571428571427,126.85714285714286
37007,316.2857142857143,2.2857142857142856
31003,19.571428571428573,1.1428571428571428
26009,37.42857142857143,0
4001,3284.285714285714,139.42857142857142
19007,40,3.4285714285714284
13001,552.7142857142857,18.142857142857142
51011,65.42857142857143,0
48007,137.42857142857142,1.8571428571428572
8005,7322.571428571428,409.42857142857144
48009,16,0
8007,29.428571428571427,0
72013,242.85714285714286,0
26011,45.57142857142857,2.4285714285714284
5001,183.85714285714286,1.1428571428571428
51013,3192.285714285714,154.28571428571428
42005,167.42857142857142,6.857142857142857
48011,4.285714285714286,0
23003,35.285714285714285,1.1428571428571428
72015,78.14285714285714,0
31005,0,0
22005,2503.1428571428573,74.28571428571429
37009,99,1.1428571428571428
39005,126.85714285714286,4.571428571428571
55003,15.428571428571429,0
5003,189,4.571428571428571
39007,573.8571428571429,50.285714285714285
53003,25,2.2857142857142856
22007,555.2857142857143,20.428571428571427
48013,443.57142857142856,5.571428571428571
20005,62.142857142857146,0
29005,11.857142857142858,0
39009,352.2857142857143,1.1428571428571428
13003,293.2857142857143,2.2857142857142856
34001,3671.714285714286,274.2857142857143
40005,61.142857142857146,0
28007,509.2857142857143,26.285714285714285
29007,201.42857142857142,1.1428571428571428
19009,27.285714285714285,1.1428571428571428
39011,183.85714285714286,5.714285714285714
51015,270,3
46003,41.714285714285715,0
48015,204.57142857142858,1.8571428571428572
1001,1022.5714285714286,22.857142857142858
37011,76.28571428571429,0
22009,896.5714285714286,26.285714285714285
8009,16,0
13005,425.57142857142856,5.714285714285714
48017,149.57142857142858,2.4285714285714284
12003,318.7142857142857,4.571428571428571
13007,56,3.4285714285714284
41001,21,0
1003,2848.8571428571427,18.714285714285715
13009,928.5714285714286,42
21007,31,0
24005,12157.857142857143,598.2857142857143
24510,11581.285714285714,452.42857142857144
45009,401.14285714285717,7
48019,74,0.2857142857142857
13011,231.57142857142858,3.4285714285714284
31007,2.2857142857142856,0
16005,273.57142857142856,1.4285714285714286
26013,5.714285714285714,0
20007,4.428571428571429,0
1005,583.1428571428571,4.571428571428571
54001,31.285714285714285,1.1428571428571428
72017,56.42857142857143,0
38003,33,0
25001,1917.7142857142858,176.85714285714286
45011,298.14285714285717,2.142857142857143
72019,171.14285714285714,0
21009,270.57142857142856,2.2857142857142856
55005,116.57142857142857,2.5714285714285716
13013,1013,36
26015,189,2.2857142857142856
29009,211.71428571428572,0
18005,763.2857142857143,51.57142857142857
20009,100.71428571428571,3.4285714285714284
29011,61.285714285714285,0
13015,1481.4285714285713,58.857142857142854
48021,1314,15.142857142857142
29013,31.142857142857142,1.1428571428571428
21011,30.428571428571427,1.1428571428571428
51017,3.2857142857142856,0
5005,59.57142857142857,0
12005,3043.285714285714,16.428571428571427
26017,580.1428571428571,35.42857142857143
72021,1020.4285714285714,0
55007,18.571428571428573,1.1428571428571428
48023,4.142857142857143,0
46005,660.5714285714286,10.285714285714286
16007,5.571428571428571,0
37013,290.57142857142856,1.2857142857142858
45013,3280.5714285714284,37.42857142857143
22011,673.2857142857143,12.571428571428571
40007,39.142857142857146,0
42007,1243.142857142857,94
30001,24.428571428571427,0
27005,113.14285714285714,0.14285714285714285
40009,35.285714285714285,0
42009,131.14285714285714,4.571428571428571
47003,842,11.428571428571429
51019,253.28571428571428,4.571428571428571
48025,396.42857142857144,2.7142857142857144
33001,113.71428571428571,4.571428571428571
21013,238.28571428571428,1.4285714285714286
48027,3397.714285714286,22.714285714285715
39013,664.2857142857143,29.571428571428573
27007,154.71428571428572,0
13017,336.14285714285717,1.1428571428571428
16009,46,0
46007,5.714285714285714,0
50003,92.57142857142857,1.1428571428571428
38005,53.857142857142854,1.1428571428571428
8011,5.714285714285714,0
5007,4723.857142857143,35.857142857142854
18007,63,0
19011,123,1.1428571428571428
27009,321.14285714285717,3.4285714285714284
28009,100.85714285714286,0
29015,55.57142857142857,0.2857142857142857
41003,152.14285714285714,6.857142857142857
47005,47.714285714285715,1.1428571428571428
53005,3547.4285714285716,119
26019,31.571428571428573,1.1428571428571428
34003,23069.285714285714,2331
45015,3827,54.142857142857146
54003,680.1428571428571,11.571428571428571
42011,5685.571428571428,413.85714285714283
25003,727,51.42857142857143
35001,4859.142857142857,124.14285714285714
13019,251,0
26021,1369.2857142857142,71.57142857142857
37015,229.71428571428572,4.571428571428571
2050,20.142857142857142,0
48029,39817.42857142857,396.7142857142857
1007,346.7142857142857,2.2857142857142856
13021,2959.5714285714284,57.857142857142854
22013,382.14285714285717,32.42857142857143
30003,225.28571428571428,5.714285714285714
56003,37.57142857142857,0
27011,23.428571428571427,0
38007,1.1428571428571428,0
16011,159.14285714285714,2.2857142857142856
19013,3211.714285714286,70.14285714285714
18009,53.57142857142857,2.2857142857142856
37017,593,5.857142857142857
16013,642.8571428571429,6.714285714285714
30005,7.714285714285714,0
31009,0,0
40011,30.857142857142858,0
42013,192,2
48031,93.71428571428571,1.4285714285714286
51021,8,0
13023,126.71428571428571,2.2857142857142856
47007,739.2857142857143,1.1428571428571428
1009,630.2857142857143,1.1428571428571428
47009,856.7142857142857,7.714285714285714
27013,849.4285714285714,3.5714285714285716
16015,32.857142857142854,0.14285714285714285
28011,814.4285714285714,27.571428571428573
29017,56.285714285714285,0
46009,14.857142857142858,0
17005,39.285714285714285,1.5714285714285714
16017,133.71428571428572,0
16019,535,1.1428571428571428
5009,116.85714285714286,1.1428571428571428
17007,778.7142857142857,25.428571428571427
18011,650.1428571428571,51.42857142857143
19015,237.14285714285714,1.1428571428571428
21015,1034.142857142857,27
29019,1008.1428571428571,3.142857142857143
31011,8,0
54005,75.57142857142857,0
